id,accion,campo_modificado,valor_nuevo,motivo,prioridad,fuente,observaciones_integracion
V805-LOG-0001A,crear,pregunta_completa,"{""modulo"": ""MP0053 Logística sanitaria"", ""tema"": ""Logística operativa en emergencias"", ""subtema"": ""Ampliación v805"", ""nivel_dificultad"": ""basica"", ""tipo_pregunta"": ""comprension"", ""enunciado"": ""En el contexto de logística operativa en emergencias, ¿qué concepto se ajusta mejor a esta definición: órgano avanzado de coordinación próximo al incidente que organiza decisiones operativas y recursos?"", ""opcion_a"": ""Puesto sanitario avanzado"", ""opcion_b"": ""Centro de coordinación de emergencias"", ""opcion_c"": ""Área de base"", ""opcion_d"": ""Puesto de Mando Avanzado"", ""respuesta_correcta"": ""D"", ""explicacion"": ""La respuesta correcta es D porque puesto de mando avanzado se define operativamente por este rasgo: coordina la intervención sobre el terreno sin sustituir al centro coordinador. En examen suelen cambiar una palabra para confundir función, zona y fase."", ""porque_no_a"": ""Puede confundirse con PMA, pero corresponde a otra fase, zona o función y no al núcleo definido en el enunciado."", ""porque_no_b"": ""Puede confundirse con PMA, pero corresponde a otra fase, zona o función y no al núcleo definido en el enunciado."", ""porque_no_c"": ""Puede confundirse con PMA, pero corresponde a otra fase, zona o función y no al núcleo definido en el enunciado."", ""porque_no_d"": ""Es la opción correcta: Puesto de Mando Avanzado coincide con el criterio: coordina la intervención sobre el terreno sin sustituir al centro coordinador."", ""regla_oro"": ""Identifica primero la función real: coordina la intervención sobre el terreno sin sustituir al centro coordinador."", ""error_tipico"": ""Confundir PMA con un término cercano por memorizar nombres sin función."", ""tip_examen"": ""Subraya el verbo del enunciado: coordinar, atender, evacuar, activar, registrar o comunicar."", ""minileccion"": ""Mini-lección: Un recurso sanitario atiende víctimas en el PSA mientras los mandos intervinientes necesitan un punto común de decisión cerca del siniestro.. En una emergencia, el nombre del recurso importa menos que su función y su ubicación dentro de la cadena operativa."", ""tabla_esquema"": """", ""conceptos_clave"": ""pma;mando;coordinacion""}","Ampliación de cobertura y dificultad con pregunta nueva de integración, distractores diferenciales y explicación completa.",media,Ampliación docente v805; contrastar con temario oficial Leixa/Xunta si se exige literalidad normativa.,"ID nuevo único; no sustituye preguntas existentes; importar como nueva pregunta sin tocar usuarios, progreso ni lógica de app."
V805-LOG-0001B,crear,pregunta_completa,"{""modulo"": ""MP0053 Logística sanitaria"", ""tema"": ""Logística operativa en emergencias"", ""subtema"": ""Ampliación v805"", ""nivel_dificultad"": ""intermedia"", ""tipo_pregunta"": ""caso_operativo"", ""enunciado"": ""Caso práctico: Un recurso sanitario atiende víctimas en el PSA mientras los mandos intervinientes necesitan un punto común de decisión cerca del siniestro. ¿Cuál es la decisión o concepto más adecuado?"", ""opcion_a"": ""Centro de coordinación de emergencias"", ""opcion_b"": ""Área de base"", ""opcion_c"": ""Puesto sanitario avanzado"", ""opcion_d"": ""Puesto de Mando Avanzado"", ""respuesta_correcta"": ""D"", ""explicacion"": ""La opción correcta es D. El dato clave es: coordina la intervención sobre el terreno sin sustituir al centro coordinador. No basta con reconocer palabras familiares; hay que decidir según la función que pide el caso."", ""porque_no_a"": ""Puede confundirse con PMA, pero corresponde a otra fase, zona o función y no al núcleo definido en el enunciado."", ""porque_no_b"": ""Puede confundirse con PMA, pero corresponde a otra fase, zona o función y no al núcleo definido en el enunciado."", ""porque_no_c"": ""Puede confundirse con PMA, pero corresponde a otra fase, zona o función y no al núcleo definido en el enunciado."", ""porque_no_d"": ""Es la opción correcta: Puesto de Mando Avanzado encaja con el dato diferencial del caso: coordina la intervención sobre el terreno sin sustituir al centro coordinador."", ""regla_oro"": ""En casos prácticos, decide por el dato diferencial, no por la palabra más conocida."", ""error_tipico"": ""Elegir una opción de la misma familia conceptual pero situada en otra fase o nivel."", ""tip_examen"": ""Cuando dos opciones parecen válidas, pregunta: ¿cuál actúa antes, cuál coordina y cuál ejecuta?"", ""minileccion"": ""Mini-lección: PMA se reconoce porque coordina la intervención sobre el terreno sin sustituir al centro coordinador. Si el caso cambia el momento, la zona o la finalidad, puede cambiar la respuesta correcta."", ""tabla_esquema"": """", ""conceptos_clave"": ""pma;mando;coordinacion""}","Ampliación de cobertura y dificultad con pregunta nueva de integración, distractores diferenciales y explicación completa.",media,Ampliación docente v805; contrastar con temario oficial Leixa/Xunta si se exige literalidad normativa.,"ID nuevo único; no sustituye preguntas existentes; importar como nueva pregunta sin tocar usuarios, progreso ni lógica de app."
V805-LOG-0001C,crear,pregunta_completa,"{""modulo"": ""MP0053 Logística sanitaria"", ""tema"": ""Logística operativa en emergencias"", ""subtema"": ""Ampliación v805"", ""nivel_dificultad"": ""alta"", ""tipo_pregunta"": ""caso_operativo"", ""enunciado"": ""Pregunta de trampa: Trasladar funciones asistenciales al PMA es un error: el mando coordina, el equipo asistencial atiende. ¿Qué opción evita mejor el error conceptual?"", ""opcion_a"": ""Área de base"", ""opcion_b"": ""Puesto de Mando Avanzado"", ""opcion_c"": ""Puesto sanitario avanzado"", ""opcion_d"": ""Centro de coordinación de emergencias"", ""respuesta_correcta"": ""B"", ""explicacion"": ""La correcta es B porque puesto de mando avanzado es la única que respeta el límite conceptual: coordina la intervención sobre el terreno sin sustituir al centro coordinador. La trampa consiste en confundir términos próximos que en la práctica se activan en momentos distintos."", ""porque_no_a"": ""Puede confundirse con PMA, pero corresponde a otra fase, zona o función y no al núcleo definido en el enunciado."", ""porque_no_b"": ""Es la opción correcta: Puesto de Mando Avanzado resuelve la frontera planteada sin invadir otra función."", ""porque_no_c"": ""Puede confundirse con PMA, pero corresponde a otra fase, zona o función y no al núcleo definido en el enunciado."", ""porque_no_d"": ""Puede confundirse con PMA, pero corresponde a otra fase, zona o función y no al núcleo definido en el enunciado."", ""regla_oro"": ""Frontera de examen: PMA = coordina la intervención sobre el terreno sin sustituir al centro coordinador."", ""error_tipico"": ""Responder por asociación de palabras y no por límites entre conceptos."", ""tip_examen"": ""En preguntas trampa, elimina primero las opciones que pertenecen a otra zona, otro plan, otro sistema corporal o otra fase."", ""minileccion"": ""Mini-lección avanzada: órgano avanzado de coordinación próximo al incidente que organiza decisiones operativas y recursos. En examen oficial, esta clase de pregunta no mide memoria aislada, sino discriminación entre conceptos vecinos."", ""tabla_esquema"": """", ""conceptos_clave"": ""pma;mando;coordinacion""}","Ampliación de cobertura y dificultad con pregunta nueva de integración, distractores diferenciales y explicación completa.",alta,Ampliación docente v805; contrastar con temario oficial Leixa/Xunta si se exige literalidad normativa.,"ID nuevo único; no sustituye preguntas existentes; importar como nueva pregunta sin tocar usuarios, progreso ni lógica de app."
V805-LOG-0002A,crear,pregunta_completa,"{""modulo"": ""MP0053 Logística sanitaria"", ""tema"": ""Logística operativa en emergencias"", ""subtema"": ""Ampliación v805"", ""nivel_dificultad"": ""basica"", ""tipo_pregunta"": ""comprension"", ""enunciado"": ""En el contexto de logística operativa en emergencias, ¿qué concepto se ajusta mejor a esta definición: zona sanitaria organizada para estabilizar, clasificar o preparar víctimas antes de evacuar?"", ""opcion_a"": ""Área de base"", ""opcion_b"": ""Centro de comunicaciones"", ""opcion_c"": ""Puesto sanitario avanzado"", ""opcion_d"": ""Puesto de mando avanzado"", ""respuesta_correcta"": ""C"", ""explicacion"": ""La respuesta correcta es C porque puesto sanitario avanzado se define operativamente por este rasgo: atiende y estabiliza víctimas, no dirige toda la emergencia. En examen suelen cambiar una palabra para confundir función, zona y fase."", ""porque_no_a"": ""Puede confundirse con PSA, pero corresponde a otra fase, zona o función y no al núcleo definido en el enunciado."", ""porque_no_b"": ""Puede confundirse con PSA, pero corresponde a otra fase, zona o función y no al núcleo definido en el enunciado."", ""porque_no_c"": ""Es la opción correcta: Puesto sanitario avanzado coincide con el criterio: atiende y estabiliza víctimas, no dirige toda la emergencia."", ""porque_no_d"": ""Puede confundirse con PSA, pero corresponde a otra fase, zona o función y no al núcleo definido en el enunciado."", ""regla_oro"": ""Identifica primero la función real: atiende y estabiliza víctimas, no dirige toda la emergencia."", ""error_tipico"": ""Confundir PSA con un término cercano por memorizar nombres sin función."", ""tip_examen"": ""Subraya el verbo del enunciado: coordinar, atender, evacuar, activar, registrar o comunicar."", ""minileccion"": ""Mini-lección: Tras el rescate, varias víctimas llegan a una zona segura donde se reevalúan constantes y prioridad de evacuación.. En una emergencia, el nombre del recurso importa menos que su función y su ubicación dentro de la cadena operativa."", ""tabla_esquema"": """", ""conceptos_clave"": ""psa;estabilizacion;victimas""}","Ampliación de cobertura y dificultad con pregunta nueva de integración, distractores diferenciales y explicación completa.",media,Ampliación docente v805; contrastar con temario oficial Leixa/Xunta si se exige literalidad normativa.,"ID nuevo único; no sustituye preguntas existentes; importar como nueva pregunta sin tocar usuarios, progreso ni lógica de app."
V805-LOG-0002B,crear,pregunta_completa,"{""modulo"": ""MP0053 Logística sanitaria"", ""tema"": ""Logística operativa en emergencias"", ""subtema"": ""Ampliación v805"", ""nivel_dificultad"": ""intermedia"", ""tipo_pregunta"": ""caso_operativo"", ""enunciado"": ""Caso práctico: Tras el rescate, varias víctimas llegan a una zona segura donde se reevalúan constantes y prioridad de evacuación. ¿Cuál es la decisión o concepto más adecuado?"", ""opcion_a"": ""Centro de comunicaciones"", ""opcion_b"": ""Puesto de mando avanzado"", ""opcion_c"": ""Puesto sanitario avanzado"", ""opcion_d"": ""Área de base"", ""respuesta_correcta"": ""C"", ""explicacion"": ""La opción correcta es C. El dato clave es: atiende y estabiliza víctimas, no dirige toda la emergencia. No basta con reconocer palabras familiares; hay que decidir según la función que pide el caso."", ""porque_no_a"": ""Puede confundirse con PSA, pero corresponde a otra fase, zona o función y no al núcleo definido en el enunciado."", ""porque_no_b"": ""Puede confundirse con PSA, pero corresponde a otra fase, zona o función y no al núcleo definido en el enunciado."", ""porque_no_c"": ""Es la opción correcta: Puesto sanitario avanzado encaja con el dato diferencial del caso: atiende y estabiliza víctimas, no dirige toda la emergencia."", ""porque_no_d"": ""Puede confundirse con PSA, pero corresponde a otra fase, zona o función y no al núcleo definido en el enunciado."", ""regla_oro"": ""En casos prácticos, decide por el dato diferencial, no por la palabra más conocida."", ""error_tipico"": ""Elegir una opción de la misma familia conceptual pero situada en otra fase o nivel."", ""tip_examen"": ""Cuando dos opciones parecen válidas, pregunta: ¿cuál actúa antes, cuál coordina y cuál ejecuta?"", ""minileccion"": ""Mini-lección: PSA se reconoce porque atiende y estabiliza víctimas, no dirige toda la emergencia. Si el caso cambia el momento, la zona o la finalidad, puede cambiar la respuesta correcta."", ""tabla_esquema"": """", ""conceptos_clave"": ""psa;estabilizacion;victimas""}","Ampliación de cobertura y dificultad con pregunta nueva de integración, distractores diferenciales y explicación completa.",media,Ampliación docente v805; contrastar con temario oficial Leixa/Xunta si se exige literalidad normativa.,"ID nuevo único; no sustituye preguntas existentes; importar como nueva pregunta sin tocar usuarios, progreso ni lógica de app."
V805-LOG-0002C,crear,pregunta_completa,"{""modulo"": ""MP0053 Logística sanitaria"", ""tema"": ""Logística operativa en emergencias"", ""subtema"": ""Ampliación v805"", ""nivel_dificultad"": ""alta"", ""tipo_pregunta"": ""caso_operativo"", ""enunciado"": ""Pregunta de trampa: Confundir PSA con PMA: uno atiende pacientes, el otro coordina recursos. ¿Qué opción evita mejor el error conceptual?"", ""opcion_a"": ""Puesto sanitario avanzado"", ""opcion_b"": ""Puesto de mando avanzado"", ""opcion_c"": ""Área de base"", ""opcion_d"": ""Centro de comunicaciones"", ""respuesta_correcta"": ""A"", ""explicacion"": ""La correcta es A porque puesto sanitario avanzado es la única que respeta el límite conceptual: atiende y estabiliza víctimas, no dirige toda la emergencia. La trampa consiste en confundir términos próximos que en la práctica se activan en momentos distintos."", ""porque_no_a"": ""Es la opción correcta: Puesto sanitario avanzado resuelve la frontera planteada sin invadir otra función."", ""porque_no_b"": ""Puede confundirse con PSA, pero corresponde a otra fase, zona o función y no al núcleo definido en el enunciado."", ""porque_no_c"": ""Puede confundirse con PSA, pero corresponde a otra fase, zona o función y no al núcleo definido en el enunciado."", ""porque_no_d"": ""Puede confundirse con PSA, pero corresponde a otra fase, zona o función y no al núcleo definido en el enunciado."", ""regla_oro"": ""Frontera de examen: PSA = atiende y estabiliza víctimas, no dirige toda la emergencia."", ""error_tipico"": ""Responder por asociación de palabras y no por límites entre conceptos."", ""tip_examen"": ""En preguntas trampa, elimina primero las opciones que pertenecen a otra zona, otro plan, otro sistema corporal o otra fase."", ""minileccion"": ""Mini-lección avanzada: zona sanitaria organizada para estabilizar, clasificar o preparar víctimas antes de evacuar. En examen oficial, esta clase de pregunta no mide memoria aislada, sino discriminación entre conceptos vecinos."", ""tabla_esquema"": """", ""conceptos_clave"": ""psa;estabilizacion;victimas""}","Ampliación de cobertura y dificultad con pregunta nueva de integración, distractores diferenciales y explicación completa.",alta,Ampliación docente v805; contrastar con temario oficial Leixa/Xunta si se exige literalidad normativa.,"ID nuevo único; no sustituye preguntas existentes; importar como nueva pregunta sin tocar usuarios, progreso ni lógica de app."
V805-LOG-0003A,crear,pregunta_completa,"{""modulo"": ""MP0053 Logística sanitaria"", ""tema"": ""Logística operativa en emergencias"", ""subtema"": ""Ampliación v805"", ""nivel_dificultad"": ""basica"", ""tipo_pregunta"": ""comprension"", ""enunciado"": ""En el contexto de logística operativa en emergencias, ¿qué concepto se ajusta mejor a esta definición: zona caliente o más próxima al daño donde actúan rescate y control inicial bajo máxima seguridad?"", ""opcion_a"": ""Zona de espera de ambulancias"", ""opcion_b"": ""Área de intervención"", ""opcion_c"": ""Área de socorro"", ""opcion_d"": ""Área de base"", ""respuesta_correcta"": ""B"", ""explicacion"": ""La respuesta correcta es B porque área de intervención se define operativamente por este rasgo: es la zona de mayor riesgo y proximidad al foco. En examen suelen cambiar una palabra para confundir función, zona y fase."", ""porque_no_a"": ""Puede confundirse con Área de intervención, pero corresponde a otra fase, zona o función y no al núcleo definido en el enunciado."", ""porque_no_b"": ""Es la opción correcta: Área de intervención coincide con el criterio: es la zona de mayor riesgo y proximidad al foco."", ""porque_no_c"": ""Puede confundirse con Área de intervención, pero corresponde a otra fase, zona o función y no al núcleo definido en el enunciado."", ""porque_no_d"": ""Puede confundirse con Área de intervención, pero corresponde a otra fase, zona o función y no al núcleo definido en el enunciado."", ""regla_oro"": ""Identifica primero la función real: es la zona de mayor riesgo y proximidad al foco."", ""error_tipico"": ""Confundir Área de intervención con un término cercano por memorizar nombres sin función."", ""tip_examen"": ""Subraya el verbo del enunciado: coordinar, atender, evacuar, activar, registrar o comunicar."", ""minileccion"": ""Mini-lección: Hay fuga, estructuras inestables y necesidad de rescate técnico antes de llevar víctimas a zona segura.. En una emergencia, el nombre del recurso importa menos que su función y su ubicación dentro de la cadena operativa."", ""tabla_esquema"": """", ""conceptos_clave"": ""zona_caliente;intervencion;seguridad""}","Ampliación de cobertura y dificultad con pregunta nueva de integración, distractores diferenciales y explicación completa.",media,Ampliación docente v805; contrastar con temario oficial Leixa/Xunta si se exige literalidad normativa.,"ID nuevo único; no sustituye preguntas existentes; importar como nueva pregunta sin tocar usuarios, progreso ni lógica de app."
V805-LOG-0003B,crear,pregunta_completa,"{""modulo"": ""MP0053 Logística sanitaria"", ""tema"": ""Logística operativa en emergencias"", ""subtema"": ""Ampliación v805"", ""nivel_dificultad"": ""intermedia"", ""tipo_pregunta"": ""caso_operativo"", ""enunciado"": ""Caso práctico: Hay fuga, estructuras inestables y necesidad de rescate técnico antes de llevar víctimas a zona segura. ¿Cuál es la decisión o concepto más adecuado?"", ""opcion_a"": ""Área de socorro"", ""opcion_b"": ""Área de intervención"", ""opcion_c"": ""Área de base"", ""opcion_d"": ""Zona de espera de ambulancias"", ""respuesta_correcta"": ""B"", ""explicacion"": ""La opción correcta es B. El dato clave es: es la zona de mayor riesgo y proximidad al foco. No basta con reconocer palabras familiares; hay que decidir según la función que pide el caso."", ""porque_no_a"": ""Puede confundirse con Área de intervención, pero corresponde a otra fase, zona o función y no al núcleo definido en el enunciado."", ""porque_no_b"": ""Es la opción correcta: Área de intervención encaja con el dato diferencial del caso: es la zona de mayor riesgo y proximidad al foco."", ""porque_no_c"": ""Puede confundirse con Área de intervención, pero corresponde a otra fase, zona o función y no al núcleo definido en el enunciado."", ""porque_no_d"": ""Puede confundirse con Área de intervención, pero corresponde a otra fase, zona o función y no al núcleo definido en el enunciado."", ""regla_oro"": ""En casos prácticos, decide por el dato diferencial, no por la palabra más conocida."", ""error_tipico"": ""Elegir una opción de la misma familia conceptual pero situada en otra fase o nivel."", ""tip_examen"": ""Cuando dos opciones parecen válidas, pregunta: ¿cuál actúa antes, cuál coordina y cuál ejecuta?"", ""minileccion"": ""Mini-lección: Área de intervención se reconoce porque es la zona de mayor riesgo y proximidad al foco. Si el caso cambia el momento, la zona o la finalidad, puede cambiar la respuesta correcta."", ""tabla_esquema"": """", ""conceptos_clave"": ""zona_caliente;intervencion;seguridad""}","Ampliación de cobertura y dificultad con pregunta nueva de integración, distractores diferenciales y explicación completa.",media,Ampliación docente v805; contrastar con temario oficial Leixa/Xunta si se exige literalidad normativa.,"ID nuevo único; no sustituye preguntas existentes; importar como nueva pregunta sin tocar usuarios, progreso ni lógica de app."
V805-LOG-0003C,crear,pregunta_completa,"{""modulo"": ""MP0053 Logística sanitaria"", ""tema"": ""Logística operativa en emergencias"", ""subtema"": ""Ampliación v805"", ""nivel_dificultad"": ""alta"", ""tipo_pregunta"": ""caso_operativo"", ""enunciado"": ""Pregunta de trampa: Meter recursos no imprescindibles en área de intervención aumenta riesgo y desorganiza. ¿Qué opción evita mejor el error conceptual?"", ""opcion_a"": ""Área de socorro"", ""opcion_b"": ""Área de base"", ""opcion_c"": ""Zona de espera de ambulancias"", ""opcion_d"": ""Área de intervención"", ""respuesta_correcta"": ""D"", ""explicacion"": ""La correcta es D porque área de intervención es la única que respeta el límite conceptual: es la zona de mayor riesgo y proximidad al foco. La trampa consiste en confundir términos próximos que en la práctica se activan en momentos distintos."", ""porque_no_a"": ""Puede confundirse con Área de intervención, pero corresponde a otra fase, zona o función y no al núcleo definido en el enunciado."", ""porque_no_b"": ""Puede confundirse con Área de intervención, pero corresponde a otra fase, zona o función y no al núcleo definido en el enunciado."", ""porque_no_c"": ""Puede confundirse con Área de intervención, pero corresponde a otra fase, zona o función y no al núcleo definido en el enunciado."", ""porque_no_d"": ""Es la opción correcta: Área de intervención resuelve la frontera planteada sin invadir otra función."", ""regla_oro"": ""Frontera de examen: Área de intervención = es la zona de mayor riesgo y proximidad al foco."", ""error_tipico"": ""Responder por asociación de palabras y no por límites entre conceptos."", ""tip_examen"": ""En preguntas trampa, elimina primero las opciones que pertenecen a otra zona, otro plan, otro sistema corporal o otra fase."", ""minileccion"": ""Mini-lección avanzada: zona caliente o más próxima al daño donde actúan rescate y control inicial bajo máxima seguridad. En examen oficial, esta clase de pregunta no mide memoria aislada, sino discriminación entre conceptos vecinos."", ""tabla_esquema"": """", ""conceptos_clave"": ""zona_caliente;intervencion;seguridad""}","Ampliación de cobertura y dificultad con pregunta nueva de integración, distractores diferenciales y explicación completa.",alta,Ampliación docente v805; contrastar con temario oficial Leixa/Xunta si se exige literalidad normativa.,"ID nuevo único; no sustituye preguntas existentes; importar como nueva pregunta sin tocar usuarios, progreso ni lógica de app."
V805-LOG-0004A,crear,pregunta_completa,"{""modulo"": ""MP0053 Logística sanitaria"", ""tema"": ""Logística operativa en emergencias"", ""subtema"": ""Ampliación v805"", ""nivel_dificultad"": ""basica"", ""tipo_pregunta"": ""comprension"", ""enunciado"": ""En el contexto de logística operativa en emergencias, ¿qué concepto se ajusta mejor a esta definición: zona donde se concentran asistencia sanitaria inicial, clasificación y estabilización tras extracción?"", ""opcion_a"": ""Área de socorro"", ""opcion_b"": ""Área de intervención"", ""opcion_c"": ""Área de base"", ""opcion_d"": ""Centro receptor hospitalario"", ""respuesta_correcta"": ""A"", ""explicacion"": ""La respuesta correcta es A porque área de socorro se define operativamente por este rasgo: recibe víctimas desde intervención y prepara evacuación. En examen suelen cambiar una palabra para confundir función, zona y fase."", ""porque_no_a"": ""Es la opción correcta: Área de socorro coincide con el criterio: recibe víctimas desde intervención y prepara evacuación."", ""porque_no_b"": ""Puede confundirse con Área de socorro, pero corresponde a otra fase, zona o función y no al núcleo definido en el enunciado."", ""porque_no_c"": ""Puede confundirse con Área de socorro, pero corresponde a otra fase, zona o función y no al núcleo definido en el enunciado."", ""porque_no_d"": ""Puede confundirse con Área de socorro, pero corresponde a otra fase, zona o función y no al núcleo definido en el enunciado."", ""regla_oro"": ""Identifica primero la función real: recibe víctimas desde intervención y prepara evacuación."", ""error_tipico"": ""Confundir Área de socorro con un término cercano por memorizar nombres sin función."", ""tip_examen"": ""Subraya el verbo del enunciado: coordinar, atender, evacuar, activar, registrar o comunicar."", ""minileccion"": ""Mini-lección: Los equipos reciben pacientes ya rescatados para triage sanitario y estabilización antes de noria de evacuación.. En una emergencia, el nombre del recurso importa menos que su función y su ubicación dentro de la cadena operativa."", ""tabla_esquema"": """", ""conceptos_clave"": ""area_socorro;triaje;estabilizacion""}","Ampliación de cobertura y dificultad con pregunta nueva de integración, distractores diferenciales y explicación completa.",media,Ampliación docente v805; contrastar con temario oficial Leixa/Xunta si se exige literalidad normativa.,"ID nuevo único; no sustituye preguntas existentes; importar como nueva pregunta sin tocar usuarios, progreso ni lógica de app."
