modulo,tema,subtema,nivel_dificultad,n_preguntas
MP0053 Logística sanitaria,Agua y saneamiento,Catástrofes,filtro_10,6
MP0053 Logística sanitaria,Alimentos,Cadena de frío,filtro_10,6
MP0053 Logística sanitaria,Ambulancias,Accesos,alta,1
MP0053 Logística sanitaria,Ambulancias,Base,alta,1
MP0053 Logística sanitaria,Ambulancias,Descarga,alta,1
MP0053 Logística sanitaria,Ambulancias,Número vehículos,alta,1
MP0053 Logística sanitaria,Ambulancias,Puesto de espera,alta,1
MP0053 Logística sanitaria,Ambulancias,Punto de carga,alta,1
MP0053 Logística sanitaria,Ambulancias,Velocidad,alta,1
MP0053 Logística sanitaria,BMIE,Estandarización,alta,1
MP0053 Logística sanitaria,BMIE,Unidades,alta,1
MP0053 Logística sanitaria,Cadena asistencial,Continuidad asistencial,alta,1
MP0053 Logística sanitaria,Cadena asistencial,Jerarquización,alta,1
MP0053 Logística sanitaria,Cadena asistencial,Optimización,alta,1
MP0053 Logística sanitaria,Cadena asistencial,Transferencias,alta,1
MP0053 Logística sanitaria,Casos integrados,Comunicaciones,filtro_10,10
MP0053 Logística sanitaria,Casos integrados,IMV clínico-logístico,filtro_10,10
MP0053 Logística sanitaria,Casos integrados IMV,Evacuación y centro útil,filtro_10,13
MP0053 Logística sanitaria,Casos integrados IMV,Triaje + logística,filtro_10,15
MP0053 Logística sanitaria,Casos integrados logística,CECOP/PMA/PMS,filtro_10,1
MP0053 Logística sanitaria,Casos integrados logística,Cadena asistencial,filtro_10,1
MP0053 Logística sanitaria,Casos integrados logística,Catástrofe integrada,filtro_10,1
MP0053 Logística sanitaria,Casos integrados logística,Medicina de catástrofes,filtro_10,1
MP0053 Logística sanitaria,Casos integrados logística,Norias y continuidad,filtro_10,1
MP0053 Logística sanitaria,Casos integrados logística,PSA/CME,filtro_10,1
MP0053 Logística sanitaria,Centros de coordinación,CECOP,alta,1
MP0053 Logística sanitaria,Centros de coordinación,CECOPI,alta,1
MP0053 Logística sanitaria,Centros de coordinación,PMA,alta,1
MP0053 Logística sanitaria,Comunicaciones,Radio,filtro_10,12
MP0053 Logística sanitaria,Comunicaciones operativas,Acuse de recibo,alta,3
MP0053 Logística sanitaria,Comunicaciones operativas,Acuse de recibo,basica,1
MP0053 Logística sanitaria,Comunicaciones operativas,Acuse de recibo,intermedia,1
MP0053 Logística sanitaria,Comunicaciones operativas,Canal alternativo,alta,3
MP0053 Logística sanitaria,Comunicaciones operativas,Canal alternativo,basica,1
MP0053 Logística sanitaria,Comunicaciones operativas,Canal alternativo,intermedia,1
MP0053 Logística sanitaria,Comunicaciones operativas,Mensaje operativo,alta,3
MP0053 Logística sanitaria,Comunicaciones operativas,Mensaje operativo,basica,1
MP0053 Logística sanitaria,Comunicaciones operativas,Mensaje operativo,intermedia,1
MP0053 Logística sanitaria,Comunicaciones operativas,Radio y CCU,filtro_10,1
MP0053 Logística sanitaria,Comunicaciones operativas,"Radio, acuse, repetidores y disciplina de red",filtro_10,156
MP0053 Logística sanitaria,Evacuación,Norias,filtro_10,6
MP0053 Logística sanitaria,Evacuación,Puesto de carga,filtro_10,6
MP0053 Logística sanitaria,Evacuación sanitaria,Centro útil,alta,3
MP0053 Logística sanitaria,Evacuación sanitaria,Centro útil,basica,1
MP0053 Logística sanitaria,Evacuación sanitaria,Centro útil,intermedia,1
MP0053 Logística sanitaria,Evacuación sanitaria,Noria de evacuación,alta,3
MP0053 Logística sanitaria,Evacuación sanitaria,Noria de evacuación,basica,1
MP0053 Logística sanitaria,Evacuación sanitaria,Noria de evacuación,intermedia,1
MP0053 Logística sanitaria,"Gases, residuos y evacuación",Botellas de gas,alta,3
MP0053 Logística sanitaria,"Gases, residuos y evacuación",Botellas de gas,basica,1
MP0053 Logística sanitaria,"Gases, residuos y evacuación",Botellas de gas,intermedia,1
MP0053 Logística sanitaria,"Gases, residuos y evacuación",Oxígeno medicinal,alta,3
MP0053 Logística sanitaria,"Gases, residuos y evacuación",Oxígeno medicinal,basica,1
MP0053 Logística sanitaria,"Gases, residuos y evacuación",Oxígeno medicinal,intermedia,1
MP0053 Logística sanitaria,"Gases, residuos y evacuación",Residuos sanitarios,alta,3
MP0053 Logística sanitaria,"Gases, residuos y evacuación",Residuos sanitarios,basica,1
